Column,Sample value,Type,Addendum,Remarks
TotalAssets,42651000000,Int64,Actual value for the current accounting period.,"Total of the asset, including current assets (cash, marketable securities, etc.), PP&E (property, plant, and equipment), intangible assets (software, patent, etc.), and other assets [yen]."
Equity,14220000000,Int64,Actual value for the current accounting period.,Total assets minus total liabilities (total of current and fixed liabilities) [yen]
EquityToAssetRatio,0.326,float,Actual value for the current accounting period. (round to 3 decimal places),Equity divided by total assets
BookValuePerShare,545.78,float,Actual value for the current accounting period.,"Book-value Per Share (BPS), which is the equity at the end of the period divided by the number of shares at the end of the period."
ResultDividendPerShare1stQuarter,－,float,"Actual value for the past or current accounting period.

[Note] ""－"" means none of the dividend, ""0"" means that less than 0.1. The same applies below.",Dividend amount at the end of the 1st quarter. [yen]
ResultDividendPerShare2ndQuarter,5,float,Actual value for the past or current accounting period.,Dividend amount at the end of the 2nd quarter. [yen]
ResultDividendPerShare3rdQuarter,,float,Actual value for the past or current accounting period.,Dividend amount at the end of the 3rd quarter. [yen]
ResultDividendPerShareFiscalYearEnd,,float,Actual value for the past or current accounting period.,Dividend amount at the end of the 4th quarter. [yen]
ResultDividendPerShareAnnual,,float,Actual value for the current fiscal year.,Total annual dividend amount. [yen]
ForecastDividendPerShare1stQuarter,,float,"Future expectations.

[Note] Blank if it is the past from the current accounting period. The same applies below.",Expected dividend amount at the end of the 1st quarter. [yen]
ForecastDividendPerShare2ndQuarter,,float,Future expectations.,Expected dividend amount at the end of the 2nd quarter. [yen]
ForecastDividendPerShare3rdQuarter,－,float,Future expectations.,Expected dividend amount at the end of the 3rd quarter. [yen]
ForecastDividendPerShareFiscalYearEnd,5,float,Future expectations.,Expected dividend amount at the end of the 4th quarter. [yen]
ForecastDividendPerShareAnnual,10,float,Future expectations.,Expected total annual dividend amount. [yen]
ForecastNetSales,56000000000,Int64,Future expectations. (Cumulated from 1Q),Expected annual net sales [yen]
ForecastOperatingProfit,2400000000,Int64,Future expectations. (Cumulated from 1Q),Expected annual operating income [yen]
ForecastOrdinaryProfit,2000000000,Int64,Future expectations. (Cumulated from 1Q),Expected annual ordinary income [yen]
ForecastProfit,1300000000,Int64,Future expectations.,Expected annual net income [yen]
ForecastEarningsPerShare,51.01,float,Future expectations.,Expected annual earnings per share [yen]
ApplyingOfSpecificAccountingOfTheQuarterlyFinancialStatements,,boolean,"TRUE, FALSE, or blank","Applying of accounting methods specific to the preparation of quarterly consolidated financial statements.

[Note] Blank if is difficult to distinguish changes in accounting policies from changes in accounting estimates."
MaterialChangesInSubsidiaries,FALSE,boolean,"TRUE, FALSE, or blank",Changes in significant subsidiaries during the period. (changes in specified subsidiaries that caused changes in the scope of consolidation)
ChangesBasedOnRevisionsOfAccountingStandard,FALSE,boolean,"TRUE, FALSE, or blank","Changes in accounting policies associated with revisions, etc. of accounting standards, etc."
ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,FALSE,boolean,"TRUE, FALSE, or blank","Changes in accounting policies based on justifiable grounds other than revisions, etc. of accounting standards, etc."
ChangesInAccountingEstimates,FALSE,boolean,"TRUE, FALSE, or blank","Changes in accounting estimates. (changes in accounting estimates that had been made for the preparation of consolidated financial statements for the previous consolidated fiscal year or any prior consolidated fiscal year, or quarterly consolidated financial statements for the immediately preceding or prior quarterly consolidated accounting period or cumulative quarterly consolidated accounting period based on new information that has become available)"
RetrospectiveRestatement,FALSE,boolean,"TRUE, FALSE, or blank","The reflection, in consolidated financial statements or quarterly consolidated financial statements, of the correction of an error in consolidated financial statements for the previous consolidated fiscal year or any prior consolidated fiscal year or quarterly consolidated financial statements for the immediately preceding or prior quarterly consolidated accounting period or cumulative quarterly consolidated accounting period.

[Note] Blank if is difficult to distinguish changes in accounting policies from changes in accounting estimates."
NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,25688569,Int64,Actual value for the current accounting period.,Number of issued shares at the end of the period (including treasury shares) as of the current accounting period.
NumberOfTreasuryStockAtTheEndOfFiscalYear,203627,Int64,Actual value for the current accounting period.,Number of treasury shares at the end of the period as of the current accounting period.
AverageNumberOfShares,25485430,Int64,Actual value for the current accounting period.,Average number of shares between the start date of the current fiscal year and the end date of in the current period.
